file_x,id,Name,stress_mpa,temp_oc,LMP,mean,upper,lower,gamma,gammaP,gammaP_distrib,gammaP_aspect,gammaP_width,gammaP_circle
in792sx,A-C11,210407-AC11-1_m004_r1.png,108.8,950,29.468,100.0,100.0,49.179,53.96205357142857,46.03794642857143,"[57.143, 19.048, 14.286, 6.349, 3.175]",2.039615700529348,80.94898490739031,0.3081524047247088
in792sx,A-C11,210407-AC11-1_m005_r1.png,108.8,950,29.468,100.0,100.0,49.179,53.61493791852679,46.385062081473215,"[48.837, 13.953, 20.93, 13.953, 2.326]",2.183447507959028,74.36867610510507,0.2788303537899215
in792sx,A-C11,210407-AC11-1_m006_r1.png,108.8,950,29.468,100.0,100.0,49.179,55.41259765624999,44.58740234375,"[34.426, 27.869, 31.148, 6.557, 0.0]",2.0442627365137307,60.08019260545216,0.4360501196804155
in792sx,A-C11,210407-AC11-1_m007_r1.png,108.8,950,29.468,100.0,100.0,49.179,56.318184988839285,43.68181501116072,"[50.794, 14.286, 28.571, 4.762, 1.587]",2.0902967649477264,76.57884161741012,0.3699791050878382
in792sx,A-C11,210407-AC11-1_m008_r1.png,108.8,950,29.468,100.0,100.0,49.179,50.24466378348215,49.75533621651786,"[45.238, 19.048, 19.048, 14.286, 2.381]",2.4744631782601405,86.01886348688699,0.2779438855411631
in792sx,A-C11,210407-AC11-1_m009_r1.png,108.8,950,29.468,100.0,100.0,49.179,54.40133231026786,45.59866768973214,"[49.091, 20.0, 21.818, 7.273, 1.818]",2.245507129904021,75.09878333699508,0.3250403415617562
in792sx,A-C11,210407-AC11-1_m010_r1.png,108.8,950,29.468,100.0,100.0,49.179,53.17626953125,46.82373046875,"[54.098, 13.115, 21.311, 11.475, 0.0]",2.498927082050791,65.76538676573888,0.4150027529438743
in792sx,A-C11,210407-AC11-1_m011_r1.png,108.8,950,29.468,100.0,100.0,49.179,49.037649972098215,50.962350027901785,"[41.86, 23.256, 13.953, 16.279, 4.651]",2.497437134003924,83.08102337626808,0.3239963547534342
in792sx,A-C11,210407-AC11-1_m012_r1.png,108.8,950,29.468,100.0,100.0,49.179,53.62452915736608,46.37547084263393,"[48.214, 17.857, 25.0, 8.929, 0.0]",2.2219840915996985,68.87844378938455,0.4159620396924634
in792sx,A-C11,210407-AC11-1_m013_r1.png,108.8,950,29.468,100.0,100.0,49.179,52.31750488281251,47.6824951171875,"[44.068, 22.034, 30.508, 0.0, 3.39]",2.1595392160442306,77.93655847641485,0.3566005822021446
in792sx,A-C11,210407-AC11-1_m014_r1.png,108.8,950,29.468,100.0,100.0,49.179,51.43711635044643,48.56288364955358,"[42.222, 15.556, 28.889, 11.111, 2.222]",1.926136619274201,90.05702572165809,0.2919257620800746
in792sx,A-C11,210407-AC11-1_m015_r1.png,108.8,950,29.468,100.0,100.0,49.179,52.59190150669642,47.40809849330357,"[40.385, 15.385, 26.923, 17.308, 0.0]",2.17694506935024,64.70023158510972,0.3931518465622013
in792sx,A-C11,210407-AC11-2_m001_r1.png,108.8,950,29.468,100.0,100.0,49.179,49.42252022879464,50.57747977120536,"[28.571, 23.81, 33.333, 11.905, 2.381]",2.2669539172769717,85.39111374495096,0.3551163000249587
in792sx,A-C11,210407-AC11-2_m002_r1.png,108.8,950,29.468,100.0,100.0,49.179,47.27730887276786,52.72269112723215,"[32.609, 19.565, 36.957, 6.522, 4.348]",2.3234067212047247,80.80860108772434,0.410761010342172
in792sx,A-C11,210407-AC11-2_m003_r1.png,108.8,950,29.468,100.0,100.0,49.179,49.43490164620536,50.565098353794646,"[37.5, 25.0, 26.786, 10.714, 0.0]",2.2205626144170365,77.16224768875063,0.4479056489937515
in792sx,A-C11,210407-AC11-2_m004_r1.png,108.8,950,29.468,100.0,100.0,49.179,55.77488490513392,44.22511509486607,"[41.791, 23.881, 28.358, 5.97, 0.0]",1.9476344156030545,62.73174108952441,0.4883277165378346
in792sx,A-C11,210407-AC11-2_m005_r1.png,108.8,950,29.468,100.0,100.0,49.179,51.27476283482143,48.72523716517857,"[45.312, 20.312, 25.0, 7.812, 1.562]",1.8538984897873405,82.7838760678041,0.4427634466160118
in792sx,A-C11,210407-AC11-2_m006_r1.png,108.8,950,29.468,100.0,100.0,49.179,54.34735979352679,45.652640206473215,"[40.678, 20.339, 30.508, 8.475, 0.0]",2.2356203417329428,70.851135231024,0.4095188308405046
in792sx,A-C11,210407-AC11-2_m007_r1.png,108.8,950,29.468,100.0,100.0,49.179,52.5537109375,47.4462890625,"[51.562, 21.875, 15.625, 10.938, 0.0]",2.0754555029578987,68.3313404086937,0.3354219828650269
